region_codigo,region_nombre,provincia,comuna_codigo,comuna_nombre
13,Metropolitana,Santiago,13101,Santiago
13,Metropolitana,Santiago,13102,Cerrillos
13,Metropolitana,Santiago,13103,Cerro Navia
13,Metropolitana,Santiago,13104,Conchalí
13,Metropolitana,Santiago,13105,El Bosque
13,Metropolitana,Santiago,13106,Estación Central
13,Metropolitana,Santiago,13107,Huechuraba
13,Metropolitana,Santiago,13108,Independencia
13,Metropolitana,Santiago,13109,La Cisterna
13,Metropolitana,Santiago,13110,La Florida
13,Metropolitana,Santiago,13111,La Granja
13,Metropolitana,Santiago,13112,La Pintana
13,Metropolitana,Santiago,13113,La Reina
13,Metropolitana,Santiago,13114,Las Condes
13,Metropolitana,Santiago,13115,Lo Barnechea
13,Metropolitana,Santiago,13116,Lo Espejo
13,Metropolitana,Santiago,13117,Lo Prado
13,Metropolitana,Santiago,13118,Macul
13,Metropolitana,Santiago,13119,Maipú
13,Metropolitana,Santiago,13120,Ñuñoa
13,Metropolitana,Santiago,13121,Pedro Aguirre Cerda
13,Metropolitana,Santiago,13122,Peñalolén
13,Metropolitana,Santiago,13123,Providencia
13,Metropolitana,Santiago,13124,Pudahuel
13,Metropolitana,Santiago,13125,Quilicura
13,Metropolitana,Santiago,13126,Quinta Normal
13,Metropolitana,Santiago,13127,Recoleta
13,Metropolitana,Santiago,13128,Renca
13,Metropolitana,Santiago,13129,San Joaquín
13,Metropolitana,Santiago,13130,San Miguel
13,Metropolitana,Santiago,13131,San Ramón
13,Metropolitana,Santiago,13132,Vitacura
